"","wordle_dict","V1","V2","V3","V4","V5","V7","V8","V9","V10","V11","unique","sumf","score","rank"
"121","pilot","p","i","l","o","t",6.62195497995683,10.6614246068455,6.53715695343818,5.38082022818378,5.60437866173296,5,34.8057354301573,174.028677150786,7224.5
"122","tweed","t","w","e","e","d",6.28276287388221,1.25655257477644,6.79925994449584,17.9386370644465,6.34443416589578,4,38.6216466234968,154.486586493987,8908
"123","comet","c","o","m","e","t",7.10761640456368,16.1578785075547,3.93925377736664,17.9386370644465,5.60437866173296,5,50.7477644156645,253.738822078323,2909
"124","jaunt","j","a","u","n","t",1.55720012334258,17.445266728338,5.14184397163121,6.07462226333642,5.60437866173296,5,35.8233117483811,179.116558741906,6832
"125","enema","e","n","e","m","a",2.33580018501388,2.65957446808511,6.79925994449584,3.09898242368178,5.24205982115325,4,20.1356768424298,80.5427073697194,12742.5
"126","steed","s","t","e","e","d",12.0644465001542,1.84242984890533,6.79925994449584,17.9386370644465,6.34443416589578,4,44.9892075238976,179.956830095591,6773
"127","abyss","a","b","y","s","s",5.68146777674992,0.624421831637373,1.64199814986124,3.97779833487512,30.5118717237126,4,42.4375578168363,169.750231267345,7545.5
"128","growl","g","r","o","w","l",4.91828553808202,7.2463768115942,7.65494912118409,0.986740672217083,3.66944187480728,5,24.4757940178847,122.378970089423,11250
"129","fling","f","l","i","n","g",4.60992907801418,5.38852913968548,8.10206598828245,6.07462226333642,1.10237434474252,5,25.2775208140611,126.387604070305,11008.5
"130","dozen","d","o","z","e","n",5.28060437866173,16.1578785075547,1.09466543324083,17.9386370644465,4.08572309589886,5,44.5575084798026,222.787542399013,4349.5
"131","boozy","b","o","o","z","y",7.00740055504163,16.1578785075547,7.65494912118409,0.971322849213691,10.0292938637064,4,41.8208448967006,167.283379586802,7746
"132","erode","e","r","o","d","e",2.33580018501388,7.2463768115942,7.65494912118409,3.6308973172988,11.7329633055813,4,32.6009867406722,130.403946962689,10768
"133","world","w","o","r","l","d",3.18378045020043,16.1578785075547,9.23527597903176,5.94357076780759,6.34443416589578,5,40.8649398704903,204.324699352451,5261
"134","gouge","g","o","u","g","e",4.91828553808202,16.1578785075547,5.14184397163121,3.26086956521739,11.7329633055813,4,41.2118408880666,164.847363552266,7972
"135","click","c","l","i","c","k",7.10761640456368,5.38852913968548,8.10206598828245,3.16836262719704,1.99660807893925,4,25.7631822386679,103.052728954672,12169
"136","briar","b","r","i","a","r",7.00740055504163,7.2463768115942,8.10206598828245,8.27937095282146,5.18809744064138,4,35.8233117483811,143.293246993525,9806
"137","great","g","r","e","a","t",4.91828553808202,7.2463768115942,6.79925994449584,8.27937095282146,5.60437866173296,5,32.8476719087265,164.238359543632,8019
"138","altar","a","l","t","a","r",5.68146777674992,5.38852913968548,4.74868948504471,8.27937095282146,5.18809744064138,4,29.286154794943,117.144619179772,11526.5
"139","pulpy","p","u","l","p","y",6.62195497995683,9.15047795251311,6.53715695343818,3.22232500770891,10.0292938637064,4,35.5612087573235,142.244835029294,9880.5
"140","blurt","b","l","u","r","t",7.00740055504163,5.38852913968548,5.14184397163121,5.5427073697194,5.60437866173296,5,28.6848596978107,143.424298489053,9798.5
"141","coast","c","o","a","s","t",7.10761640456368,16.1578785075547,9.52821461609621,3.97779833487512,5.60437866173296,5,42.3758865248227,211.879432624113,4885
"142","duchy","d","u","c","h","y",5.28060437866173,9.15047795251311,3.02189330866482,1.81159420289855,10.0292938637064,5,29.2938637064447,146.469318532223,9562.5
"143","groin","g","r","o","i","n",4.91828553808202,7.2463768115942,7.65494912118409,6.78384212149244,4.08572309589886,5,30.6891766882516,153.445883441258,9002
